rowLabel	avP	dP	avI	dI	f1	dF1	f2	dF2	h
?	-1	2549.826406834922	52.09878819437235	1290.2992882356045	354.7404392835237	9194.182219598597	1589.878700557344	35257.22439949907	-1
?	127.49132034174612	2790.4907779819364	64.51496441178023	538.3095357012229	459.70911097992985	2038.4897703722675	1762.8612199749537	901.4947098523999	9.208054358415179
?	138.52453889909683	792.0699241450069	79.01426497943349	163.32337502547313	456.6649278021371	-783.0949779517241	1634.953436049964	-1790.201970356756	11.730247485888299
?	167.09481654899648	1260.9896508184133	72.68113316305389	-20.141946814603106	420.55436208234363	-885.1529106637374	1673.3511214571158	3515.677497919988	7.257265482129341
?	201.57402144001748	1342.6552502628872	78.00716763870334	8.654529101575294	412.4072822689502	488.51130327035105	1810.7373109459634	4999.416388149276	13.838731685576482
?	234.22757906214082	788.5347758087132	73.11385961813265	-199.7301821870571	444.9799272458612	331.8973834773363	1923.3219408645796	3976.4471194882626	9.97870751435986
?	241.00076023045312	-540.3662135832134	68.02065852935048	-113.83132939797011	429.002151442817	-901.872879317315	2009.5596669203765	1091.1758092482435	10.224707881050497
?	207.20926838298016	-861.9138746417044	67.42229314823415	-270.5150483411176	399.88628327999544	-207.32350256850515	1977.8807313269917	-1674.9676935839357	12.57962681241966
?	197.90506649836792	-4164.185367659604	54.49490611229461	-325.0625972966699	418.63597631439177	1505.9226990017637	1925.8112822411797	-653.3252939355726	-1
?	-1	-3978.101329967359	51.16916328340066	-90.27009471983918	475.1824182300836	3509.1363716851774	1945.214466630213	803.8664568591869	-1
?	-1	0	49.98140137630265	18.126209413111507	594.0927948986506	4325.636833472275	1966.004605084139	1892.051760332077	-1
?	-1	0	52.07547375405623	-3.7492616292527683	691.4642599036976	305.78846489960796	2039.817054646817	97.93473930670635	-1
?	-1	0	49.79393829484001	-155.40662940726008	609.382218143631	159.960237481216	1970.9013420494744	-2607.943602374087	-1
?	-1	0	44.30514228369322	-139.57797227053436	699.4622717777584	1030.3569187109874	1909.4198745281126	699.7890452560381	-1
?	-1	0	42.81503968131329	62.67470613349553	660.9000640791804	3337.647717654717	2005.8907943122763	8344.520847118734	-1
?	-1	2743.0269330421183	47.438877590368	298.48124526121495	866.3446576604944	7650.351886521744	2326.6459168840497	12188.974021006195	-1
?	136.15134665210604	2646.0604245369846	57.73910194437405	299.95913543612403	1043.417658405268	-11857.552521573942	2615.3394953625866	-6566.377783774896	-1
?	131.30302122684935	-79.3649702687923	62.43683436217422	158.7820786446906	273.46703158179673	-15116.981183250678	1998.3270276953047	-12350.756047611574	-1
?	132.18309813866642	-63.69207918214664	65.67820587660859	213.09094463721488	287.5685992427334	2269.796284313398	1997.8016929820074	-1679.767408994224	14.231633958161632
?	128.11841726774202	-277.3136448053194	73.09138159403497	164.53814083815837	386.9568457974667	3527.1379560549726	1914.3386572455934	-1950.5019182593903	9.150132340802008
?	118.31741589840047	-296.3467456050975	73.9051129185165	62.66299805180006	463.9254970454818	1573.8208411066191	1900.276597069038	-1101.220532354013	7.777670570297252
?	113.30107998748713	-238.68961926570884	76.22453149662498	-86.93919841358813	465.64788785279774	-94.02437983642804	1859.2776306278927	-1044.8197768551463	10.823854204200154
?	106.38293493511502	4377.662841980143	69.55815299783708	-284.3719651490148	459.2242780536604	21.072599659679536	1848.0356082262806	532.4017076052583	6.430799866431973
?	332.18422208649446	-2147.6586987022984	62.005933239174226	-340.8466442227181	466.7015178357817	390.69026368004836	1885.8977160081556	-168.67688014776363	-1
?	-1	2600.179573198062	52.51582078670116	-146.1855698463964	478.7587912376628	-78.41231397630843	1839.6017642188924	-355.1284430603297	-1
?	462.1932007463977	9518.025671684069	54.6966547468544	179.85635450437752	462.7809021369663	511.32479199221575	1868.141293855139	-393.2472109732722	-1
?	474.9012835842039	-40.22253202967587	61.50863851192005	77.7977283814247	504.32503083727363	202.03284745362208	1819.9394036702288	-1104.9670288691768	-1
?	460.1820741449139	-9518.025671684069	58.58654116592564	50.28254115711984	472.8825445096474	10968.204278059904	1812.8929424116802	18157.282341190352	-1
?	-1	-9223.641482898269	64.02276556977604	184.27026383465642	1052.7352447402693	20386.48868813006	2727.803520729747	21635.12696262641	-1
?	-1	4514.122458495969	67.80005435765847	96.94156984469478	1492.2069789161512	6563.24331217429	2894.649290543002	-2146.0638939606342	1.0083874005223201
?	224.70612292479868	4357.511463157177	68.86984406201079	47.713437137928125	1380.897410348984	-22439.91504966033	2620.5003260317153	-19200.123549886237	-0.894004999162353
?	216.87557315785904	-904.4539766964565	70.18572621455488	-234.78963955265579	370.2112264331339	-5364.873370629921	1934.6431130486892	-1231.5792989256795	10.923283919368203
