rowLabel	avP	dP	avI	dI	f1	dF1	f2	dF2	h
?	108.96699160920743	2115.9868860813062	71.25950637692058	1406.1261914184324	608.1843262902862	10220.769242662087	1348.0027977182706	27289.75578185816	10.053256592399784
?	105.79934430406531	-9.316399935079573	70.30630957092163	-24.652493464585916	511.03846213310436	-4600.2201814731425	1364.487789092908	10179.137034365667	8.35107873508032
?	108.50117161245345	45.39076592894587	70.02688170369129	-19.753680690795356	378.1733172166291	-3542.8233686215467	1856.959649436554	13126.801401769817	12.30766814631989
?	108.06888260051261	-97.48533051830637	69.31862553638186	-103.55479544125191	333.89729370202696	9959.410214667134	2020.8278591813992	12339.099149559577	12.442887067124392
?	103.62690508653813	-2181.377652010253	64.8491419316287	-158.94380952778494	876.1438279499856	21005.005853478106	2473.9146069145327	13947.209969144027	4.1503913952308835
?	-1	-2092.538101730763	61.37143505999261	-159.54541052986787	1384.147586375932	2727.7392769098155	2718.1883576386003	1777.9844781633624	-2.9810055036143552
?	-1	2367.7259952093987	56.8718714051353	270.15905619904765	1012.5307917954764	-16433.42949426923	2562.8138308227008	-38020.99004820961	-1
?	117.38629976046991	2289.693803638233	74.87938786994499	405.28931306651907	562.4761116624708	-8720.9685587454	817.1388552281202	-36395.17892643643	13.417273521517544
?	113.48469018191163	-141.76860871504547	77.13633705846125	2.3392155539031028	576.4823638582064	485.67521028078784	743.0548845008797	14789.184268857964	18.92138024844883
?	110.29786932471764	-174.38769735759112	74.99634864764015	-162.0479460008497	586.7598721765102	1664.7956466332248	1556.5980686710182	33870.52483244548	16.19576671865382
?	104.76530531403208	-20.386110233482082	69.03393975841877	-350.5735651895561	659.7221461898677	1637.5253477877104	2436.5811261231534	14019.529017738983	9.759294828785377
?	109.27856381304353	-2115.3061062806396	57.467670388162325	-298.21917820690004	668.6361395658958	897.4707983584555	2257.574519557968	-12717.652768256232	-1
?	-1	-2205.5712762608687	54.12298084807375	-159.82477510317565	704.5956861077905	1250.29191019731	1800.6984877103412	-8794.561318574648	-1
?	-1	0	49.476431633003536	80.03647046951166	731.1507350757613	10297.665978538816	1817.8464536292352	9821.99697546243	-1
?	-1	0	58.12480437154934	612.8550276077549	1219.4789850347317	17374.82055136156	2291.798336483463	22317.68160979191	-1
?	-1	10482.830484304426	80.11918301339131	361.4304887671436	1599.8917626438401	1705.0085366451488	2933.7305341188317	8631.973747635904	30.227186390127393
?	523.1415242152218	10482.830484304426	76.19632880990653	-88.76025162375291	1304.7294118669893	-9057.75950868526	2723.3970238652587	-11776.787756287884	-1
?	523.1415242152218	-10482.830484304426	75.68117043220366	-96.18613110982997	1147.0037872095768	-6436.745578033705	2344.891146304437	-16951.039826731652	36.80839496692163
?	-1	-3501.7484206970485	71.38702225441503	-78.18213074154095	982.8921329653037	-9117.993313027595	1875.8450325286753	-21707.20655912778	16.623738968883014
?	348.0541031803692	0	71.7720638951266	66.08936190869466	691.1041215581967	2946.515884078985	1259.530818348047	11560.318401294886	4.417507533942076
?	-1	-6981.082063607379	74.69149034984976	-28.578898627649185	1130.2179271692528	6638.479315203921	2453.860952593419	26703.295057952768	14.278339802256736
?	-1	11056.020668768706	70.34311896374415	-114.31240172662446	1023.028087318393	4195.600136142608	2594.6955712456866	-717.1326134213443	19.857303271462317
?	551.8010334384358	3132.997291911765	68.97587026351853	87.65981675288536	1339.9979339763834	-11073.78135655515	2418.0043219223517	-12450.36938527461	-1
?	155.64986459558838	-8819.379481025926	74.72610980138842	144.03422882480797	469.33901949063505	-17643.986413327606	1972.1771019819555	-7208.972458558131	3.244348588348852
?	110.83205938713904	-931.0647467407051	76.17758170475894	43.89692771274465	457.7986133100024	-406.3482058085398	2057.555698994445	1222.5717615197607	11.221967236144419
?	109.09662725855308	-93.73359439043205	76.92095618702565	-20.837285944934063	449.02160920020805	-122.15689957378106	2033.3056900579436	-549.2558341703484	15.535475794678575
?	106.14537966761743	-155.75679489707326	75.13571740751223	-107.05047223086372	451.69076833131334	339.55820342901205	2030.0929072859274	2528.4179549176383	14.751127019602908
?	101.30878751369941	-195.86068521372323	71.56843257548246	-65.14654348743414	465.99951937165866	453.87568204369774	2159.7265878038256	2179.135192690931	10.167700767231375
?	96.35234540693126	-136.16239477994003	71.87839023314052	-5.989874755301509	474.38455243349824	49.47499376930064	2139.049666920474	-2371.7784483758965	12.030158291671432
?	94.5006677747024	-115.86923148327931	71.26893883771739	-90.65875883413091	468.4732690601237	-1440.5515961448893	2041.1376653850307	-185.40731286041574	13.485479960128483
?	90.5588838327673	-10.02556683481827	67.34545229143397	-52.57737216721973	402.3569726262537	-672.6262885808302	2129.779301277453	1118.5219281740128	10.858361502116297
?	93.9993894329615	-2.8698402152670583	68.6400702293564	-101.11620869165796	434.84195463108216	1744.2306596145359	2097.0637617937314	-4696.3196423093905	8.415317371067355
?	90.41539182200394	-1899.9877886592283	62.28964185685107	-232.65961842627314	489.5685056069806	1426.576000711078	1894.9633191619835	-3770.0545425297346	5.99370673568548
?	-1	438.9621490849193	57.00708930804273	229.23629039576548	506.1707546666361	3580.6262078449904	1908.5610346672445	-9149.542446425787	-1
?	112.36349927624993	2166.9274018187743	73.75145637663935	172.89940066645414	668.5998159992303	3078.37287942356	1437.4861968406938	-5386.954073508473	5.958619091929155
?	107.3463700909388	-2267.2699855249966	65.65205934136544	-325.3741869666619	660.0893986378143	357.5750512116971	1639.2133309918206	1588.8436111372525	3.559895292347474
?	-1	-2166.9274018187743	57.48274702830624	-208.09562569672715	686.4785685598151	1759.6112776583693	1516.9283773975565	2131.846991436071	-1
?	-1	2272.0061340119055	55.247278056529076	187.98991710830362	748.0699625207328	-3843.1771050517827	1745.8056805636243	11038.362902839148	-1
?	112.60030670059537	2189.4000293680547	66.88224288372143	414.67832683531446	494.3197133072258	-6181.45676258582	2068.8465225395144	5897.778617415228	6.908174781412125
?	108.47000146840283	-139.95590354522923	75.98119439829482	141.4435555462648	438.99712439144156	-1199.2502537440257	2040.694611434386	-837.8525609180254	14.569215164440475
?	105.60251152333393	-108.49958419827128	73.95442066103465	-85.3311811544245	434.35720062002474	-119.41475115415457	2026.9538944936132	-5.380137620722982	15.061461758797899
?	103.04502225848928	-110.8672144526484	71.71463534057361	-103.68575785495645	433.02638683373385	87.39636003524228	2040.4256045533498	271.0604001014563	12.704671827802475
?	100.05915080070153	679.3194190406114	68.77013276828684	-168.97414644324672	438.72701862178684	576.71956164384	2040.506914498686	-613.1191056688862	6.304381867748011
?	137.01099321051973	6096.778717677775	63.2659280184113	-187.38693776278276	461.86236491592575	-173.23388939540627	2009.7696492699056	2162.4332526214116	5.301662981913893
?	404.8980866845892	-421.80356721192516	59.40078588014774	90.34178683712189	430.06532415201656	479.4062868398629	2148.628577129756	-9264.681236166949	-1
?	115.92081484992354	-5859.265417310394	67.78301736026738	184.54386044879934	485.8326792579188	576.3845870043358	1546.5355874615598	-6401.5364471071825	11.245597998596642
?	111.93481581907055	7847.674829562013	68.62797890258767	-80.49090892239633	458.88455350223325	-1772.0101734421764	1828.5517547743982	17845.4594062333	7.472436877359368
?	508.3045563280228	-2258.696316381419	63.75847191414758	-215.76856597615765	397.2321705858103	9313.732595433372	2438.8085577732218	11483.047640228287	1.9246826597625308
?	-1	-7820.240422751295	57.83955060377983	69.08191919112734	924.5711832739002	2820.314081263019	2402.7041367858105	-4441.176256745845	-1
?	117.29253519045946	2264.9587414519556	67.21256787370393	-6.40633314078587	538.2478746489608	-12481.796759367357	2216.7497449359303	-4958.324357510163	5.6220561143304115
?	112.24793707259737	8700.103564001436	57.519233946740535	-84.39882879814734	300.48134530553455	6263.4141589666515	2154.7879189103032	-934.1729663241982	-1
?	552.2977133905298	254.4027088425114	62.99262643379658	369.2376974861745	851.4185825972922	5466.778396793342	2170.0410966197205	-8363.742120710429	-1
?	124.96807251472289	-8717.769360109873	75.9811188210492	243.00872305712588	573.8202651452007	-6903.85434415551	1736.6008128747833	-10901.436871893991	7.297950098785856
?	116.40924538503772	-221.82712614899225	75.14306258665283	-132.40171481026513	506.22586538951794	-2826.7444554219705	1624.969253025023	4501.462670997214	8.42681904265324
?	113.87671620727332	-63.02533813319849	69.36103308053596	-63.32999232397748	432.48304237410264	-2881.1967592907445	1961.6739464246432	10962.74718826631	6.0107560995906635
?	113.25797847837781	-0.9084341180820875	71.97656297045397	119.73551896793495	362.1660274249812	81.47751029987859	2173.1066124383365	3175.9036021928728	10.940682669148654
?	113.83129450136921	-26.051902942399842	75.34780902893269	-10.764497651498498	436.55691788909655	947.3641057451414	2120.4691265342863	-4172.22888289035	14.725093826265539
?	111.95538333125782	-234.94749689452672	71.43833808787905	-237.26348991566383	409.5342327122381	-375.4420130215603	1964.4951682938197	-1637.4630639967168	11.999993290123117
?	102.08391965664292	-372.0990619114109	63.48463453314954	-149.09294092249706	417.7848172380186	1064.8783527070923	2038.5959733344507	-3538.565950053402	-1
?	93.35043023568734	-297.74729947032506	63.98369104175422	-101.19369599240834	462.77815034759254	2602.959363393711	1787.5668707911502	6569.219972828574	9.793903867994306
?	87.19655468312672	73.53762405222366	58.42494973352914	87.59691712755955	547.9327854077037	2579.898187996895	2367.0569719758782	-3675.199301500424	-1
?	97.02731143829851	169.79287629490162	68.36353689813218	208.81377595681275	591.7730597474368	2466.150764085198	1603.8069057161297	-17375.47051667208	4.89816204736136
?	95.68619849787177	52.479838862393436	68.86563853136974	-28.194204324550853	671.2403236119632	-665.8652944791107	1498.2834461422772	989.6705774919009	5.348016152095095
?	99.65130338141817	163.20154562173883	66.95382668190464	3.106174141856297	558.4797950234814	-1146.8164854206357	1653.2904345907245	-2849.635284051961	5.659397750921871
?	103.84627577895868	56.16143888644919	69.02094723846255	48.17510129769249	613.8994993409316	760.2672932799901	1355.8016819396796	-4775.528040426606	10.717053106892633
?	102.45937532574062	-70.92771429049375	69.36258174678926	-93.50185566891132	596.4931596874808	-1280.287244519709	1414.514032569395	14891.30804380687	7.325869542197269
?	100.29989006443401	7.156575277944936	64.345854455017	-109.86143000946466	549.8851371149464	-5139.545334142556	2100.3670841300204	13797.856038897238	5.314508834435899
?	102.81720408963787	-109.75273027522984	63.86951024631605	-112.88609166117152	339.5158929803539	5809.80366988533	2104.4068345142546	3707.550815203635	11.08598885764207
?	94.81225355067254	-2076.344081792765	58.70154987195845	-55.41450728908535	840.3753206092118	12187.242814131661	2285.7446248902015	9777.582431393765	-1
?	-1	-1916.2450710134576	61.09878488186179	-138.65794322957618	948.8780336869348	5450.606655299233	2593.285956083941	2613.0298649500673	-1
?	-1	2117.453963131933	51.768652710479664	91.63446030728328	1112.9056533741725	-5871.413887538081	2416.3961181377044	-5125.090284119378	-1
?	104.87269815659629	2004.6218517755785	65.68050789722594	300.43171644936655	655.3073393100318	-9631.650675046702	2337.031441877973	-1726.1948578867912	6.688112284767718
?	99.23109258877857	-119.93685208460121	66.79023853294794	-11.901250916400883	631.3231196218392	-1579.0890674228797	2330.086375243365	-6372.421501834115	7.903040065243634
?	98.87585555236625	-125.94873211914135	65.0854453514059	-92.92131130691179	576.3528859388881	-1282.8059143191786	2018.4103667862685	7313.182962867922	10.668314210167775
?	92.93365598282152	-1997.517111047332	62.144172967602366	-19.70194327745311	567.1828239058805	15076.88535746775	2695.74552338676	25167.42072970131	-1
?	-1	-1878.6731196564372	64.10034818753324	44.431201094337226	1330.197153812273	20582.204434309355	3276.7814032713295	9346.804465391293	-1
?	-1	2354.126269240252	64.36573302231922	-91.97663166261326	1596.2930456213446	-9035.347099272365	3163.085746656323	-19589.70719516089	0.8720276978849031
?	116.70631346201219	2262.7306092305553	59.501516604402596	80.4069176498615	878.4297988486563	-25330.64080877197	2297.2960435132886	-17773.486156385807	6.117204115816911
?	112.13653046152736	-205.1216979499144	68.38607890481228	177.46014789674098	329.76100518275086	-11216.110193333156	2274.411438837036	-878.2831645339533	12.877880777070294
?	106.45022856451651	-239.9918298015251	68.37452399923961	-67.63602759510941	317.6242891820006	128.22434160406874	2253.381885286591	-753.3784396162382	11.797464180589083
?	100.13693897145114	-2149.004571290338	65.00427752505682	-317.2749913443756	336.1722222629543	428.63723494295	2236.742516856224	816.6970608862387	8.195012375756011
?	-1	-2022.73877942903	52.51077443202089	-298.44626556079567	339.05615092914803	23419.64788134641	2294.216738330903	8521.61037221232	-1
?	-1	0	50.08196424701709	-54.440738606691404	1507.1546163302705	23706.504611916083	2662.8230354668385	-3918.389757033006	-1
?	-1	0	49.78873750168633	128.48613614802662	1524.381381524948	748.2884450243618	2098.2972504792533	-3186.225507911115	-1
?	-1	0	56.5062710544184	113.21641009036821	1544.5690385814885	-2734.95078733522	2503.5117600712833	5030.019741458509	-1
?	-1	0	55.44955800620472	-52.743199711505795	1387.6338421581875	-7512.955135556448	2349.798237552178	-2737.264517963686	-1
?	-1	2305.9757486200288	53.86911106884312	178.25712762004477	1168.9212818036674	-18606.054291940643	2366.6485341730995	-17161.8809670286	-1
?	114.29878743100103	11191.991043873935	64.36241438720693	128.89804531739375	457.33112756115867	-3680.0597631823775	1491.704189200751	-6295.215451611243	6.683212347894337
?	558.5995521936948	7998.574610822668	60.31401333471278	51.16096530695917	984.9182936445492	5890.870394163329	2051.8877615925385	15626.686024211087	-1
?	514.227517972133	-1753.043565314295	66.92046265255488	119.86852130588218	751.8746472693241	-11252.260694606754	2273.0384904113025	-654.1048224307383	2.9257791846094783
?	470.9473739279803	174.17655575964608	66.30743940000687	-111.74510019040935	422.3052589142135	4389.196284199834	2019.1825204710017	-1081.5408285787946	2.5790640039031536
?	522.9363457601153	-7162.509564762957	61.33320764303443	40.88289386223906	971.334461479315	12009.205933105599	2218.961448982363	5431.717806801454	-1
?	112.82189568983372	-8478.69448582224	68.35158409311882	153.8303155735093	1022.7655555694913	-10470.252086975093	2290.7684108110734	-4766.993809323184	8.066396063375413
?	99.00162146900485	-2276.4379137966826	69.02472342170987	-38.50422551322722	447.82185713056214	3519.8083158101244	1980.6117585162046	7257.960405265483	5.494218160036374
?	-1	-2000.032429380104	66.42637281745746	-102.27933270656729	1198.755971359997	11639.450613984342	2653.6664310743463	12549.837257899535	1.001012988363638
?	-1	2223.5586623185623	63.91075678638152	-125.69929798559387	1029.7943878297772	-1577.6464195663823	2608.103621411179	-4234.062374535503	2.068888405375729
?	110.17793311592773	2171.60744765183	60.14140791817779	81.84126001562973	1119.873650381678	-7832.7111903309815	2441.963312347572	-10643.062394391174	2.469142691538156
?	107.58037238259112	-170.80029245817886	68.00281978716299	1.4326404596964488	638.1588283132295	-12757.207404111079	2075.9505016916223	-8158.661799799072	13.814053423505774
?	101.63791849301882	-2171.60744765183	60.21303994116261	-357.93199569288856	482.0132801761264	-1119.7786658993816	2034.0302223576198	-640.7734608161968	-1
?	-1	-2052.7583698603835	50.106220002518626	-66.90345547656231	582.1698950182606	4177.679864017287	2043.9118286508126	4612.135373365675	-1
?	-1	1863.570545400157	56.86786716733451	222.0870090561561	690.89727337699	3275.999348341243	2264.6369910259027	5052.974725272411	6.1625220773902
?	92.17852727000752	0	61.21057045532639	166.9157261496412	745.9698624353222	24194.948567073683	2296.5605649144322	15537.843712502	5.929756484256856
?	-1	312.09533979349146	65.21365347481654	-31.77567565621257	1900.6447017306698	11278.090205577915	3041.529176651	6375.314421866619	-0.525317808084214
?	107.78329425968204	1998.7079774126908	59.62178667251577	-22.61386650728363	1309.874372714216	-25562.608182744425	2615.326286007762	-19170.425288723512	-1
?	98.93539887063419	-394.97433498510105	64.08296014945236	59.7062123015764	622.5142925934531	-18326.282992657372	2083.0079122148277	-13369.176014744082	7.4530368763146795
?	88.03457751042706	-137.2579147562137	62.60709728759458	-25.644061302149005	393.56022308135056	-5903.32624089818	1946.8674852705603	880.6171404892516	-1
?	92.07250313282353	276.75013923678546	62.800757084344916	61.59155710301328	327.34798054854514	-1898.249984699985	2127.03876923929	5648.163408237362	-1
?	101.87208447226628	300.3955338278967	65.68667514274523	140.50848515488988	298.64772384635165	-140.13172180219095	2229.2756556824274	1508.0516305674573	12.676375745391532
?	107.09227982421831	158.51746467303371	69.82618134208938	145.67424012513976	320.3413944584356	1567.764061765914	2202.4413507676627	-2741.880044880973	11.025278636122843
?	109.79795770591794	-2.237526268655764	72.97038714900219	106.28968161220239	377.0359269346471	2118.6059892268368	2092.1816534383793	-3359.7521740770962	13.440891420430654
?	106.98040351078552	-92.10688690291225	75.14066542269949	67.6176729440311	426.2716939197771	1146.16774927574	2034.4537420638085	-2462.5047596771988	14.895784774292332
?	105.19261336077234	-172.3212222346334	76.35127079620374	-58.787947445410886	434.3443143984339	1189.5418749190467	1969.0564154545198	-5100.187042279699	12.460754845964392
?	98.36434239905388	-258.666523584474	72.20126805042895	-62.56998836947127	485.7487876657292	979.1337918365413	1779.4443899498244	-15652.114516983986	9.255631596295974
?	92.25928718154869	-202.74837294384852	73.22277137773018	-11.645474017405247	483.30100399026077	-443.8964376225731	1186.4506896053233	-11158.523082025999	15.051889427648879
?	88.22692375186149	-142.54993149100437	71.61899434955869	-278.91684108476323	463.5539657846006	639.2734896199647	1221.5182358485265	7827.439342846729	14.617065495935503
?	85.13179060699849	-1784.5384750372361	59.27692932349207	-404.10069141600434	515.2646784712589	2875.1965152780213	1577.8226567476584	16887.16504298438	5.795030148841084
?	-1	-1722.635812139976	51.413959778758546	-192.20696924228048	607.3137915485012	868.0995035675377	2065.8764879977425	8257.304107219235	-1
?	-1	2052.447542452471	49.66658086137808	176.87053126878857	558.6696536496356	-149.91076939096556	1990.6878621086187	-10242.456091532937	-1
?	101.62237712262319	1858.2347296484897	60.25748634219794	315.6810693444217	599.8182530789529	-725.7225584657025	1553.7536834210975	-14951.625192994265	3.444427060402571
?	91.91173648242416	-353.9120029288621	65.45063432859911	-164.15827664995663	522.3835257263506	948.9779570881376	1243.1066024589081	10246.076556104268	6.182734741906917
?	83.92677697618015	320.0823330978531	52.04957250970014	-48.220819364606086	647.2671509333596	3373.213677227548	2066.057511226309	14415.550229801222	-1
?	107.91585313731676	243.08843010647507	63.03959336036881	266.3534014850755	691.0442095877274	-992.3191040926862	1963.8841139489666	-1257.7744647331292	0.7684896359200732
?	96.08119848150386	-2178.317062746343	65.36724258395387	44.3961146729025	597.6511957287255	16072.479498808581	2003.1687879896529	19944.15936884084	4.127395894510751
?	-1	-1941.623969630084	65.25939909401393	-145.2597431560694	1494.6681845281537	27452.743073389054	2961.092082391005	24238.930398364173	-1
?	-1	2136.3695605508333	58.104255426150424	8.409142565391536	1970.2883493981733	-17528.759593887018	3215.115307907857	-23012.249198928308	-1
?	105.81847802754127	1993.8918377999673	65.6798562222835	168.88395825495496	618.2302048338058	-25213.88311889738	1810.4796224445938	-18439.668087158145	5.975597246448642
?	98.69459188999801	-302.782575318437	66.54845333889814	-17.39882538694366	709.5941934533088	1624.2136711091973	2293.131903549953	10144.09981626733	13.895836825226459
?	90.67934926161948	-278.7397728276549	64.80991495293633	-158.5801834619241	699.4408883892654	1166.2235194710815	2317.6846132579585	923.9322321737051	11.197361091291626
?	84.75760324861531	-1833.586985232396	58.619444165801966	-324.4387058644392	767.9053694268627	2927.062062790532	2339.3285151586383	-959.6198028419565	-1
?	-1	-1715.1520649723122	48.58797965971442	-181.92797938131216	845.7939915287915	2332.3984443622717	2269.703623115861	-8328.482433015077	-1
?	-1	0	49.52304519673639	-20.92646914311992	884.5252916449758	3682.6387817946506	1922.904393507886	-8667.739756348063	-1
?	-1	0	47.54165620255843	-66.37122603371746	1029.9259306185234	-4028.6089308151695	1836.3166352984592	-2515.428010176961	-1
?	-1	0	46.20448389505053	-10.353287170821128	683.094845104218	-2371.9662840302403	1797.1329929990384	4839.782656880556	-1
?	-1	0	47.023991844017374	243.4706782805216	911.3276164170118	8230.815357771926	2078.305768142486	5990.933804216013	-1
?	-1	0	58.37801780907657	445.7139434927008	1094.6356129928129	14425.321650462703	2096.679683209838	11467.408056507951	-1
?	-1	8695.695625917602	69.30968901865234	309.0022921098457	1632.5936989401443	-11208.380456436536	2651.6761709678817	5581.088318604763	31.71568623804463
?	433.78478129587853	3411.1761863510715	73.8281324145688	79.06813125677957	534.2165901709881	-26963.13319754809	2375.734099140075	-6794.179709147399	16.333958304569308
?	169.55880931755297	-5984.663930759646	73.2630955814913	-2.84058830740663	284.4370390627447	-4952.888760339523	2311.967185510513	-693.5712730262756	10.248070259913941
?	134.5515847578973	-509.7613834758216	73.68610299919847	-149.47388684668223	286.57215215401277	437.4168192046504	2341.0555354887615	-1968.8379253819382	8.685495711396614
?	144.07074014376198	2610.5710843195548	65.78940123915722	-325.6721915420441	306.30788002297714	2359.506824686587	2213.5252892414164	-2673.370104943279	7.004251320182398
?	265.08013897387457	-2901.4148028752497	57.40249342209632	-213.8572449597155	404.5474933883417	16641.20863894634	2207.387030241598	100.01104087336024	-1
